Address,City,State,Zip,AUTO_UNIQUE_ID_2019-08-19_glenpark_address_set_2,Source,UpdatedGeocoding,TimeTaken,TransactionId,Version,ErrorMessage,Latitude,Longitude,MatchType,MatchedLocationType,FeatureMatchingResultType,InterpolationType,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,GeocodeQualityType,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType
86TH AV & HOLLY ST,Oakland,CA,,1804,USCGeocoder,1,46.8712,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
400 23RD AV,Oakland,CA,,1805,USCGeocoder,1,125.0143,,4.1,,37.7731238209041,-122.235807788762,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,1347.03188577527,Meters,03,StreetSegmentInterpolation
3000 GEORGIA ST,Oakland,CA,,1806,USCGeocoder,1,31.2685,,4.1,,37.7969538474638,-122.205408399045,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,4135.91889707837,Meters,03,StreetSegmentInterpolation
100 5TH ST,Oakland,CA,,1807,USCGeocoder,1,125.0073,,4.1,,37.7949558615291,-122.26674611552,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,2678.68593030027,Meters,03,StreetSegmentInterpolation
400 E 12TH ST,Oakland,CA,,1808,USCGeocoder,1,281.2509,,4.1,,37.7957939,-122.2551926,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
1800 WEST ST,Oakland,CA,,1809,USCGeocoder,1,31.2588,,4.1,,37.8101976537094,-122.277795481575,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,1898.17560559884,Meters,03,StreetSegmentInterpolation
200 ELYSIAN FIELDS DR,Oakland,CA,,1810,USCGeocoder,1,187.4915,,4.1,,37.7602835,-122.1338022,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
5900 E 17TH ST,Oakland,CA,,1811,USCGeocoder,1,234.3778,,4.1,,37.7666508672422,-122.197376785258,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,2584.77804019907,Meters,03,StreetSegmentInterpolation
2700 12TH AV,Oakland,CA,,1812,USCGeocoder,1,281.2441,,4.1,,37.7987037,-122.236512,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
10TH ST & WILLOW ST,Oakland,CA,,1813,USCGeocoder,1,31.2512,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
MACARTHUR BLVD & OAKLAND AV,Oakland,CA,,1814,USCGeocoder,1,15.702,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
300 PERALTA ST,Oakland,CA,,1815,USCGeocoder,1,46.8957,,4.1,,37.803567178899,-122.300020046449,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,4115.18886801158,Meters,03,StreetSegmentInterpolation
700 31ST ST,Oakland,CA,,1816,USCGeocoder,1,156.2679,,4.1,,37.8208220757602,-122.27162048118,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,4822.38100703387,Meters,03,StreetSegmentInterpolation
0 DONNA WY,Oakland,CA,,1817,USCGeocoder,1,203.1434,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
85TH AV & BANCROFT AV,Oakland,CA,,1818,USCGeocoder,1,31.245,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
1300 HARRISON ST,Oakland,CA,,1819,USCGeocoder,1,62.5156,,4.1,,37.8021987493276,-122.267991956289,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,1956.63142285775,Meters,03,StreetSegmentInterpolation
200 RIDGEWAY AV,Oakland,CA,,1820,USCGeocoder,1,93.7677,,4.1,,37.8289958333824,-122.252232720395,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,1048.93992161239,Meters,03,StreetSegmentInterpolation
1300 FRANKLIN ST,Oakland,CA,,1821,USCGeocoder,1,62.5121,,4.1,,37.8031129569639,-122.27033625609,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,1949.57412396185,Meters,03,StreetSegmentInterpolation
4100 CARRINGTON ST,Oakland,CA,,1822,USCGeocoder,1,171.8393,,4.1,,37.7782956,-122.210848,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
500 FAIRMOUNT AV,Oakland,CA,,1823,USCGeocoder,1,78.1171,,4.1,,37.821460731609,-122.254505989982,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,1310.72564088926,Meters,03,StreetSegmentInterpolation
1700 E 15TH ST,Oakland,CA,,1824,USCGeocoder,1,375.0495,,4.1,,37.7886517,-122.2419899,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
0 VAN CLEAVE WY,Oakland,CA,,1825,USCGeocoder,1,109.3722,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
