Address,City,State,Zip
400 JEAN ST,Oakland,CA,
200 HANOVER AV,Oakland,CA,
9TH AV & FOOTHILL BLVD,Oakland,CA,
1800 10TH ST,Oakland,CA,
3200 LAUREL AV,Oakland,CA,
1500 3RD ST,Oakland,CA,
1500 94TH AV,Oakland,CA,
14TH AV & E 29TH ST,Oakland,CA,
9000 SUNNYSIDE ST,Oakland,CA,
25TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,
4800 DUNKIRK AV,Oakland,CA,
2800 VIOLA ST,Oakland,CA,
2500 MONTICELLO AV,Oakland,CA,
200 KERWIN AV,Oakland,CA,
5300 BROADWAY TER,Oakland,CA,
1000 CAMPBELL ST,Oakland,CA,
59TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,
500 ATHOL AV,Oakland,CA,
10TH ST & FILBERT ST,Oakland,CA,
1200 5TH AV,Oakland,CA,
7800 SAN LEANDRO ST,Oakland,CA,
4400 PENNIMAN AV,Oakland,CA,
4100 MAYNARD AV,Oakland,CA,
900 E 18TH ST,Oakland,CA,
3100 BERLIN WY,Oakland,CA,
3800 RUBY ST,Oakland,CA,
1500 9TH ST,Oakland,CA,
1800 E 17TH ST,Oakland,CA,
4200 PORTER ST,Oakland,CA,
1200 46TH AV,Oakland,CA,
19TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,
4600 VIRGINIA AV,Oakland,CA,
2000 12TH AV,Oakland,CA,
96TH AV & SUNNYSIDE ST,Oakland,CA,
ELIZABETH ST & SEMINARY AV,Oakland,CA,
3800 CANON AV,Oakland,CA,
4TH ST & OAK ST,Oakland,CA,
5300 HOLLAND ST,Oakland,CA,
76TH AV & BANCROFT AV,Oakland,CA,
50TH ST & TELEGRAPH AV,Oakland,CA,
4700 BROOKDALE AV,Oakland,CA,
1200 E 15TH ST,Oakland,CA,
900 ALVARADO RD,Oakland,CA,
1100 HOLMAN RD,Oakland,CA,
103RD AV & GRAFFIAN ST,Oakland,CA,
6000 OCEAN VIEW DR,Oakland,CA,
BATAAN ST & MARITIME ST,Oakland,CA,
105TH AV & RUSSETT ST,Oakland,CA,
1900 MANDELA PKWY,Oakland,CA,
3200 13TH AV,Oakland,CA,
1500 41ST AV,Oakland,CA,
LAKESHORE AV & TRESTLE GLEN RD,Oakland,CA,
3900 AGUA VISTA ST,Oakland,CA,
CLAREMONT AV & CLIFTON ST,Oakland,CA,
1000 POPLAR ST,Oakland,CA,
28TH ST & MYRTLE ST,Oakland,CA,
600 WALAVISTA AV,Oakland,CA,
4500 PENNIMAN AV,Oakland,CA,
COOLIDGE AV & LOGAN ST,Oakland,CA,
MOUNTAIN BLVD & REDWOOD RD,Oakland,CA,
1900 8TH AV,Oakland,CA,
4600 ALLENDALE AV,Oakland,CA,
1300 E 24TH ST,Oakland,CA,
MILES AV & PRESLEY WY,Oakland,CA,
9300 B ST,Oakland,CA,
4300 ATLAS AV,Oakland,CA,
7500 CIRCLE HILL DR,Oakland,CA,
80TH AV & BANCROFT AV,Oakland,CA,
5500 E 17TH ST,Oakland,CA,
2100 73RD AV,Oakland,CA,
84TH AV & A ST,Oakland,CA,
9700 WALNUT ST,Oakland,CA,
7900 GREENLY DR,Oakland,CA,
4100 PENNIMAN CT,Oakland,CA,
92ND AV & D ST,Oakland,CA,
1100 57TH AV,Oakland,CA,
5TH ST & MADISON ST,Oakland,CA,
1800 89TH AV,Oakland,CA,
3800 CLARKE ST,Oakland,CA,
84TH AV & PLYMOUTH ST,Oakland,CA,
0 HARRISON ST,Oakland,CA,
3100 MINNA AV,Oakland,CA,
EDES AV & JONES AV,Oakland,CA,
5200 TRASK ST,Oakland,CA,
9900 BERNHARDT DR,Oakland,CA,
13800 CAMPUS DR,Oakland,CA,
1700 INDIAN WY,Oakland,CA,
2000 WEST ST,Oakland,CA,
2000 42ND AV,Oakland,CA,
2800 MORCOM AV,Oakland,CA,
2600 MACARTHUR BLVD,Oakland,CA,
500 ALCATRAZ AV,Oakland,CA,
3900 GREENWOOD AV,Oakland,CA,
1600 18TH AV,Oakland,CA,
13600 CAMPUS DR,Oakland,CA,
600 E 10TH ST,Oakland,CA,
69TH AV & SNELL ST,Oakland,CA,
44TH AV & SAN LEANDRO ST,Oakland,CA,
1000 50TH AV,Oakland,CA,
9800 E ST,Oakland,CA,
2600 34TH AV,Oakland,CA,
3400 CHAMPION ST,Oakland,CA,
3400 MAPLE AV,Oakland,CA,
1300 75TH AV,Oakland,CA,
9TH ST & OAK ST,Oakland,CA,
800 MADISON ST,Oakland,CA,
3000 COURTLAND AV,Oakland,CA,
1200 WEBSTER ST,Oakland,CA,
5600 SCOVILLE ST,Oakland,CA,
66TH AV & MACARTHUR BLVD,Oakland,CA,
4700 WEST ST,Oakland,CA,
2100 39TH AV,Oakland,CA,
EB 98TH ONRP AV & EB I580,Oakland,CA,
5900 MARSHALL ST,Oakland,CA,
500 MIRA VISTA AV,Oakland,CA,
FREDERICK ST & KENNEDY ST,Oakland,CA,
700 CLAY ST,Oakland,CA,
5800 THORNHILL DR,Oakland,CA,
MACARTHUR BLVD & MIDVALE AV,Oakland,CA,
4400 WALNUT ST,Oakland,CA,
