Address,City,State,Zip
5500 VALLEJO,Oakland,CA,
0 THE PLAZ,Oakland,CA,
DIRECTED PATROL UNITS,Oakland,CA,
BLANDON RD & GLENLY RD,Oakland,CA,
4129B PENNIMAN AV,Oakland,CA,
6200 SAN LEANDRO AV,Oakland,CA,
3900 ALISO AV,Oakland,CA,
1600 E. 12TH ST&17TH AV,Oakland,CA,
FRUITVALE AND SANLEANDRO,Oakland,CA,
63/CAMD,Oakland,CA,
SEMINARY AND SANLEANDRO,Oakland,CA,
0 TOWNSQUARE PL,Oakland,CA,
NB S13 CONN & TUNNEL RD,Oakland,CA,
ACCESS RD AT 7TH ST,Oakland,CA,
1500 ,Oakland,CA,
2600 MEADOWCREST CT,Oakland,CA,
3000 OCTAVIA,Oakland,CA,
COACH DR & PHAETON DR,Oakland,CA,
HD @ HEGENBERGER RD,Oakland,CA,
1900 ALCATRAZ,Oakland,CA,
2200 FREDERICK ST,Oakland,CA,
4200 PIEDMONT,Oakland,CA,
300 W WINTON,Oakland,CA,
1000 E 14TH ST,Oakland,CA,
5700 AVENAL,Oakland,CA,
3300 68TH AVE,Oakland,CA,
WB I980 & WB S24,Oakland,CA,
NB 7TH CONN ST & NB BROADWAY CONN,Oakland,CA,
4900 FLEMING AV,Oakland,CA,
3200 BANCROFT WY,Oakland,CA,
9500 BLK SUNNYSIDE ST,Oakland,CA,
W MACARTHUR BLVD & PERALTA ST,Oakland,CA,
9012A INTERNATIONAL BLVD,Oakland,CA,
3400 GRAND AVENUE,Oakland,CA,
CATRON DR & ESTEPA DR,Oakland,CA,
SA,Oakland,CA,
1900 3RD ST,Oakland,CA,
DISTRICT 2 - DIRECTED PATROL,Oakland,CA,
7TH/NAVY ROAD WY,Oakland,CA,
3300 CURRAN AV,Oakland,CA,
DIRECTED PATROL/BEAT 27,Oakland,CA,
KINKOS ON POWEL ST IN EMMERYVILLE,Oakland,CA,
INTERNATIONAL CORRIDOR SPECIAL ASSIGN,Oakland,CA,
1700 1&2 WEBSTER ST,Oakland,CA,
1500 E ST,Oakland,CA,
1800 HAVENSCOURT BLVD,Oakland,CA,
17000 VIA PIEDROS SR,Oakland,CA,
5000 SAN PABLO AV,Oakland,CA,
EMBARCADERO AND BROADWAY,Oakland,CA,
KNOLL RIDGE WY & SLOPECREST DR,Oakland,CA,
1800 20TH AV,Oakland,CA,
2200 11TH AV#2,Oakland,CA,
68TH AVE & BANCROFT AVE,Oakland,CA,
3600 7TH ST,Oakland,CA,
0 & GRAND,Oakland,CA,
14TH/MLK,Oakland,CA,
52ND ST & MARTIN LUTHER KING JR,Oakland,CA,
2600 CLAREMONT AV,Oakland,CA,
4000 SAN PABLO AVE,Oakland,CA,
FAIRBAIRN AV & KNOWLAND AV,Oakland,CA,
600 23RD STREET,Oakland,CA,
ANAIR WY & STEARNS AV,Oakland,CA,
BROADWAY & WB I980,Oakland,CA,
EVERETT AV & LEACH AV,Oakland,CA,
1600 66TH AV,Oakland,CA,
981A INTERNATIONAL BLVD,Oakland,CA,
500 WILLIAM,Oakland,CA,
2800 82ND AVE,Oakland,CA,
900 6TH AV,Oakland,CA,
0 HIGHLAND DR,Oakland,CA,
DISTRICT 3 ALONG INTL,Oakland,CA,
26TH ST & WEBSTER,Oakland,CA,
CASTLEWOOD ST & SARAZEN AV,Oakland,CA,
7000 SAYRE DRIVE,Oakland,CA,
2100 BIENATI WY,Oakland,CA,
CRESTMONT DR & KIMBERLIN HEIGHTS DR,Oakland,CA,
NB COLISEUM OFFRP WY & NB HIGH OFFRP ST,Oakland,CA,
1100 MARITIME ST,Oakland,CA,
600 73RD AV,Oakland,CA,
400 MANDELA PKWY,Oakland,CA,
GRIZZLY PEAK & S PARK,Oakland,CA,
ROSEMOUNT RD & VERRADA RD,Oakland,CA,
0 CORNWALL CT,Oakland,CA,
800 MAC ARTHUR BLVD,Oakland,CA,
2400 W 12TH,Oakland,CA,
OAKMORE PL & OAKMORE RD,Oakland,CA,
400 W GRAND AVE,Oakland,CA,
BERKELEY PD,Oakland,CA,
6000 GIRVIN DR,Oakland,CA,
2300 68TH AV,Oakland,CA,
E 17TH ST & ROSEDALE AV,Oakland,CA,
300 HAWTHRONE ST,Oakland,CA,
12TH ST,Oakland,CA,
BREED & SUNNYSIDE,Oakland,CA,
I80/UNIV,Oakland,CA,
34900 NEWARK BLVD,Oakland,CA,
I880 & CUTTING,Oakland,CA,
105TH AV & BEVERLY AV,Oakland,CA,
1300 E. 33RD ST,Oakland,CA,
S ELMHURST AV & RAILROAD AV,Oakland,CA,
900 83RD AVE,Oakland,CA,
300 BLK 105TH AV,Oakland,CA,
BLANDING AV & PARK ST,Oakland,CA,
1000 7TH ST.,Oakland,CA,
600 E17TH ST,Oakland,CA,
100 SONIA ST,Oakland,CA,
CAMELFORD PL & MALL CT,Oakland,CA,
5TH ST/EMBARCADERO,Oakland,CA,
3900 ALAMEDA AVE,Oakland,CA,
2500 SPENCER,Oakland,CA,
10000 SIGOURNEY AV,Oakland,CA,
5800 BIRCH ST,Oakland,CA,
47/ADEL,Oakland,CA,
EMM CORRIDOR,Oakland,CA,
9600 EMPIRE CT,Oakland,CA,
COOLIDGE & E27,Oakland,CA,
6300 LA SALLE AV,Oakland,CA,
1800 74TH AVE,Oakland,CA,
