Address,City,State,Zip
MATHER ST & VIEW ST,Oakland,CA,
E 12TH ST & 31ST AV,Oakland,CA,
4000 DELMONT AV,Oakland,CA,
TREMONT ST & WOOLSEY ST,Oakland,CA,
61ST ST & BAKER ST,Oakland,CA,
5000 MANILA AV,Oakland,CA,
4100 OBSERVATORY AV,Oakland,CA,
3700 DORISA AV,Oakland,CA,
100 PERKINS ST,Oakland,CA,
1700 LAKESHORE AV,Oakland,CA,
3600 ARDLEY AV,Oakland,CA,
CLIFTON ST & DESMOND ST,Oakland,CA,
MILES AV & ROSS ST,Oakland,CA,
MADELINE ST & SILVERWOOD AV,Oakland,CA,
108TH AV & MYERS ST,Oakland,CA,
13TH AV & E 32ND ST,Oakland,CA,
CAMDEN ST & MILLSVIEW AV,Oakland,CA,
40/SAN PABLO,Oakland,CA,
1400 20TH AVE,Oakland,CA,
1500 E 22ND ST,Oakland,CA,
10100 CARY ST,Oakland,CA,
6300 ASPINWALL RD,Oakland,CA,
1500 CHESTNUT STREET,Oakland,CA,
1100 CHATHAM RD,Oakland,CA,
4400 JENSEN ST,Oakland,CA,
HAWLEY ST & LION WY,Oakland,CA,
3300 SIMMONS ST,Oakland,CA,
HARLAN ST & PERALTA ST,Oakland,CA,
MARSHALL ST & STANFORD AV,Oakland,CA,
13100 CLAIREPOINTE WY,Oakland,CA,
2200 EMBARCADERO,Oakland,CA,
EB 12TH ONRP ST & CASTRO ST,Oakland,CA,
38TH AV & DALE PL,Oakland,CA,
80TH AV & IRIS ST,Oakland,CA,
6200 VALLEJO ST,Oakland,CA,
E 32ND ST & RANDOLPH AV,Oakland,CA,
1400 E 24TH ST,Oakland,CA,
7300 SPENCER ST,Oakland,CA,
2500 WOOD ST,Oakland,CA,
EDGEWATER DR & HASSLER WY,Oakland,CA,
1900 LIVINGSTON ST,Oakland,CA,
LAKESHORE AREA,Oakland,CA,
SB I880 & WB I980,Oakland,CA,
1000 HARVARD WY,Oakland,CA,
NB BROADWAY OFFRP & NB I880,Oakland,CA,
9100 PLYMOUTH ST,Oakland,CA,
SB LINCOLN OFFRP AV & SB S13,Oakland,CA,
5500 PROCTOR AV,Oakland,CA,
0 GRAHAM PL,Oakland,CA,
CRESCENT ST & SANTA CLARA AV,Oakland,CA,
1700 66TH AV,Oakland,CA,
1100 54TH AV,Oakland,CA,
200 VAN BUREN AV,Oakland,CA,
21ST AV & E 30TH ST,Oakland,CA,
LINDA AV & ROSE AV,Oakland,CA,
900 1&2 72ND AV,Oakland,CA,
COLUMBIAN DR & STERLING DR,Oakland,CA,
7100 HAWLEY ST,Oakland,CA,
11TH AV & E 23RD ST,Oakland,CA,
0 ROCKRIDGE PL,Oakland,CA,
2200 99TH AV,Oakland,CA,
10900 MONAN ST,Oakland,CA,
OAK KNOLL BLVD & TWIN OAKS WY,Oakland,CA,
6500 CHELTON DR,Oakland,CA,
1500 SOLANO WY,Oakland,CA,
FIELD ST & GREENLY DR,Oakland,CA,
SPC ASSIGN,Oakland,CA,
CASWELL AV & CLARA ST,Oakland,CA,
3600 GLEN PARK RD,Oakland,CA,
4900 LAWTON AV,Oakland,CA,
3500 E 9TH ST,Oakland,CA,
BRUNS CT & LA SALLE AV,Oakland,CA,
1700 W GRAND AV,Oakland,CA,
EUCLID AV & WARWICK AV,Oakland,CA,
22ND AV & SONOMA WY,Oakland,CA,
