Address,City,State,Zip
82ND AV & UTAH ST,Oakland,CA,
2200 E 33RD ST,Oakland,CA,
12TH ST & WEST ST,Oakland,CA,
E 10TH ST & 23RD AV,Oakland,CA,
KELLER AV & SURREY LN,Oakland,CA,
BEAT 19,Oakland,CA,
HIGH ST & TOMPKINS AV,Oakland,CA,
15TH AV & INDEPENDENCE WY,Oakland,CA,
5900 MILES AV,Oakland,CA,
LEONA ST & RUSTING AV,Oakland,CA,
7000 EXETER DR,Oakland,CA,
98TH AV & BLAKE DR,Oakland,CA,
ERIE ST & MANDANA BLVD,Oakland,CA,
1400 WOOD ST,Oakland,CA,
3600 LINCOLN AV,Oakland,CA,
4300 DUNSMUIR AV,Oakland,CA,
1700 78TH AV,Oakland,CA,
5500 MORSE DR,Oakland,CA,
7400 WOODROW DR,Oakland,CA,
CAIRO RD & CORAL RD,Oakland,CA,
MOUNTAIN BLVD & TWITTER LN,Oakland,CA,
3900 ARCHMONT PL,Oakland,CA,
9TH ST & CASTRO ST,Oakland,CA,
105TH AV & CREEKSIDE CIR,Oakland,CA,
E 8TH ST & FRUITVALE AV,Oakland,CA,
5600 BACON RD,Oakland,CA,
6600 ARTHUR ST,Oakland,CA,
17TH ST & WEST ST,Oakland,CA,
1300 42ND AV,Oakland,CA,
3300 LINDEN ST,Oakland,CA,
3100 22ND AV,Oakland,CA,
2100 MANZANITA DR,Oakland,CA,
E 10TH ST & 50TH AV,Oakland,CA,
1800 9TH ST,Oakland,CA,
6600 BROADWAY,Oakland,CA,
6500 PINEHAVEN RD,Oakland,CA,
10900 ELVESSA ST,Oakland,CA,
BANCROFT AV & WARNER AV,Oakland,CA,
2200 BRUSH ST,Oakland,CA,
0 JOAQUIN MILLER CT,Oakland,CA,
3900 EDWARDS AV,Oakland,CA,
BANCROFT WY & INTERNATIONAL BLVD,Oakland,CA,
60TH ST & ADELINE ST,Oakland,CA,
500 ZEPHYR DR,Oakland,CA,
5900 OUTLOOK AV,Oakland,CA,
1100 UNION ST,Oakland,CA,
42ND ST & RICH ST,Oakland,CA,
10300 WALNUT ST,Oakland,CA,
2700 DARNBY DR,Oakland,CA,
3200 PALMER AV,Oakland,CA,
