Address,City,State,Zip
4900 SAN LEANDRO ST,Oakland,CA,
68TH AV & AVENAL AV,Oakland,CA,
22ND ST & BRUSH ST,Oakland,CA,
2900 82ND AV,Oakland,CA,
100 CITY LIMITS CIR,Oakland,CA,
1100 CENTER ST,Oakland,CA,
800 36TH AV,Oakland,CA,
6600 GUNN DR,Oakland,CA,
1100 WEBSTER ST,Oakland,CA,
700 E 19TH ST,Oakland,CA,
800 85TH AV,Oakland,CA,
800 16TH ST,Oakland,CA,
8600 E ST,Oakland,CA,
40TH ST CORRIDOR,Oakland,CA,
2800 KINGSLAND AV,Oakland,CA,
E 12TH ST & 45TH AV,Oakland,CA,
3500 REDWOOD RD,Oakland,CA,
6600 HELEN CT,Oakland,CA,
88TH AV & A ST,Oakland,CA,
77TH AV & HAMILTON ST,Oakland,CA,
AREA 1,Oakland,CA,
600 RAND AV,Oakland,CA,
1800 LEIMERT BLVD,Oakland,CA,
HARRISON ST & STANLEY PL,Oakland,CA,
8100 RUDSDALE ST,Oakland,CA,
60TH AV & BRANN ST,Oakland,CA,
7700 HANSOM DR,Oakland,CA,
1600 MILLER AV,Oakland,CA,
4900 COCHRANE AV,Oakland,CA,
80TH AV & B ST,Oakland,CA,
7900 WINTHROPE ST,Oakland,CA,
13300 CAMPUS DR,Oakland,CA,
6000 GLENARMS DR,Oakland,CA,
2400 CHESTNUT ST,Oakland,CA,
E 10TH ST & 9TH AV,Oakland,CA,
87TH AV & G ST,Oakland,CA,
5500 KALES AV,Oakland,CA,
CAPP ST & SCHOOL ST,Oakland,CA,
17TH ST & WOOD ST,Oakland,CA,
21ST ST & FILBERT ST,Oakland,CA,
45TH ST & WEBSTER ST,Oakland,CA,
100 BRUSH ST,Oakland,CA,
3300 GLENLY RD,Oakland,CA,
6100 BROADWAY TER,Oakland,CA,
800 107TH AV,Oakland,CA,
1300 EXCELSIOR AV,Oakland,CA,
4600 RISING HILL CT,Oakland,CA,
BROADWAY & BROADWAY TER,Oakland,CA,
CLEVELAND AV & PARK BLVD,Oakland,CA,
2800 GLASCOCK ST,Oakland,CA,
2500 94TH AV,Oakland,CA,
5800 MACCALL ST,Oakland,CA,
COLISEUM WY & INDEPENDENT RD,Oakland,CA,
800 STONE ST,Oakland,CA,
100TH AV & B ST,Oakland,CA,
E 17TH ST & 6TH AV,Oakland,CA,
GRAND AV & JEAN ST,Oakland,CA,
19TH AV & E 24TH ST,Oakland,CA,
6200 CLIVE AV,Oakland,CA,
77TH AV & HOLLY ST,Oakland,CA,
9900 BANCROFT AV,Oakland,CA,
54TH ST & GENOA ST,Oakland,CA,
4000 CANON AV,Oakland,CA,
E 24TH ST & 8TH AV,Oakland,CA,
13TH ST & CENTER ST,Oakland,CA,
