Address,City,State,Zip
400 7TH ST,Oakland,CA,
2600 73RD AV,Oakland,CA,
DIRECTED PATROL,Oakland,CA,
8400 EDGEWATER DR,Oakland,CA,
500 HEGENBERGER RD,Oakland,CA,
1400 E 31ST ST,Oakland,CA,
14TH ST & BROADWAY,Oakland,CA,
7200 BANCROFT AV,Oakland,CA,
600 15TH ST,Oakland,CA,
200 W MACARTHUR BLVD,Oakland,CA,
300 HAWTHORNE AV,Oakland,CA,
3200 LAKESHORE AV,Oakland,CA,
600 HEGENBERGER RD,Oakland,CA,
4300 TOMPKINS AV,Oakland,CA,
1400 7TH ST,Oakland,CA,
8700 G ST,Oakland,CA,
98TH AV & INTERNATIONAL BLVD,Oakland,CA,
DIRECTIVE PATROL,Oakland,CA,
800 W GRAND AV,Oakland,CA,
2500 HAVENSCOURT BLVD,Oakland,CA,
1400 HARRISON ST,Oakland,CA,
2300 SAN PABLO AV,Oakland,CA,
400 HEGENBERGER RD,Oakland,CA,
100 98TH AV,Oakland,CA,
HIGH ST & INTERNATIONAL BLVD,Oakland,CA,
300 GRAND AV,Oakland,CA,
FRUITVALE AV & INTERNATIONAL BLVD,Oakland,CA,
3900 LOMA VISTA AV,Oakland,CA,
14TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,
9800 INTERNATIONAL BLVD,Oakland,CA,
7000 COLISEUM WY,Oakland,CA,
3000 E 9TH ST,Oakland,CA,
1300 BROADWAY,Oakland,CA,
4100 MASTERSON ST,Oakland,CA,
6900 BANCROFT AV,Oakland,CA,
8400 EDES AV,Oakland,CA,
300 40TH ST,Oakland,CA,
1200 BROADWAY,Oakland,CA,
5100 BROADWAY,Oakland,CA,
19TH ST & TELEGRAPH AV,Oakland,CA,
200 E 18TH ST,Oakland,CA,
4200 INTERNATIONAL BLVD,Oakland,CA,
500 16TH ST,Oakland,CA,
1600 8TH ST,Oakland,CA,
73RD AV & BANCROFT AV,Oakland,CA,
2500 SAN PABLO AV,Oakland,CA,
40TH ST & TELEGRAPH AV,Oakland,CA,
13TH ST & BROADWAY,Oakland,CA,
7500 INTERNATIONAL BLVD,Oakland,CA,
1400 BROADWAY,Oakland,CA,
7100 EDGEWATER DR,Oakland,CA,
